Plot Item,Plot Title,LSL,USL,To Plot,Figure
LT4_FOS_1000NITS_W511_10HZ WU GLumUniformity,1000NITS_W511 WU GLumUniformity,85,100,Yes,1000nits W511 | dY duv
LT4_FOS_1000NITS_W511_10HZ WU duvOverPanel,1000NITS_W511 WU duvOverPanel,0,0,Yes,1000nits W511 | dY duv
LT4_FOS_1000NITS_W511_10HZ WU duvWorstNeig,1000NITS_W511 WU duvWorstNeig,0,0,Yes,1000nits W511 | WU
LT4_FOS_1000NITS_W511_10HZ WU duvLongEdge,1000NITS_W511 WU duvLongEdge,0,0,Yes,1000nits W511 | WU
LT4_FOS_1000NITS_W511_10HZ WU frameGreen,1000NITS_W511 WU frameGreen,0,0,Yes,1000nits W511 | WU
LT4_FOS_1000NITS_W511_10HZ WU duvWRTCen,1000NITS_W511 WU duvWRTCen,0,0,Yes,1000nits W511 | WU
LT4_FOS_1000NITS_W511_10HZ WU duvShortEdge,1000NITS_W511 WU duvShortEdge,0,0,Yes,1000nits W511 | WU
LT4_FOS_1000NITS_W511_10HZ WU framePink,1000NITS_W511 WU framePink,0,0,Yes,1000nits W511 | WU
LT4_FOS_1000NITS_W511_10HZ CU DUVCen,1000NITS_W511 CU DUVCen,0,0,Yes,1000nits W511 | CU
LT4_FOS_1000NITS_W511_10HZ CU LUCen,1000NITS_W511 CU LUCen,0,0,Yes,1000nits W511 | CU
LT4_FOS_1000NITS_W511_10HZ CU DUVEdge,1000NITS_W511 CU DUVEdge,0,0,Yes,1000nits W511 | CU
LT4_FOS_1000NITS_W511_10HZ CU LUEdge,1000NITS_W511 CU LUEdge,0,0,Yes,1000nits W511 | CU
LT4_FOS_600NITS_W511_10HZ WU GLumUniformity,600NITS_W511 WU GLumUniformity,85,100,Yes,600nits W511 | dY duv
LT4_FOS_600NITS_W511_10HZ WU duvOverPanel,600NITS_W511 WU duvOverPanel,0,0.0093,Yes,600nits W511 | dY duv
LT4_FOS_600NITS_W511_10HZ WU duvWorstNeig,600NITS_W511 WU duvWorstNeig,0,0.0032,Yes,600nits W511 | WU
LT4_FOS_600NITS_W511_10HZ WU duvLongEdge,600NITS_W511 WU duvLongEdge,0,0.005,Yes,600nits W511 | WU
LT4_FOS_600NITS_W511_10HZ WU frameGreen,600NITS_W511 WU frameGreen,0,0,Yes,600nits W511 | WU
LT4_FOS_600NITS_W511_10HZ WU duvWRTCen,600NITS_W511 WU duvWRTCen,0,0.0071,Yes,600nits W511 | WU
LT4_FOS_600NITS_W511_10HZ WU duvShortEdge,600NITS_W511 WU duvShortEdge,0,0.005,Yes,600nits W511 | WU
LT4_FOS_600NITS_W511_10HZ WU framePink,600NITS_W511 WU framePink,0,0,Yes,600nits W511 | WU
LT4_FOS_600NITS_W511_10HZ CU DUVCen,600NITS_W511 CU DUVCen,0,5.5,Yes,600nits W511 | CU
LT4_FOS_600NITS_W511_10HZ CU LUCen,600NITS_W511 CU LUCen,0,0.6,Yes,600nits W511 | CU
LT4_FOS_600NITS_W511_10HZ CU DUVEdge,600NITS_W511 CU DUVEdge,0,5.5,Yes,600nits W511 | CU
LT4_FOS_600NITS_W511_10HZ CU LUEdge,600NITS_W511 CU LUEdge,0,0.6,Yes,600nits W511 | CU
LT4_FOS_600NITS_W21_10HZ WU GLumUniformity,600NITS_W21 WU GLumUniformity,75,100,Yes,600nits W21 | dY duv
LT4_FOS_600NITS_W21_10HZ WU duvOverPanel,600NITS_W21 WU duvOverPanel,0,0.01,Yes,600nits W21 | dY duv
LT4_FOS_600NITS_W21_10HZ WU duvWorstNeig,600NITS_W21 WU duvWorstNeig,0,0.0042,Yes,600nits W21 | WU
LT4_FOS_600NITS_W21_10HZ WU duvLongEdge,600NITS_W21 WU duvLongEdge,0,0.0055,Yes,600nits W21 | WU
LT4_FOS_600NITS_W21_10HZ WU frameGreen,600NITS_W21 WU frameGreen,0,0,Yes,600nits W21 | WU
LT4_FOS_600NITS_W21_10HZ WU duvWRTCen,600NITS_W21 WU duvWRTCen,0,0.0083,Yes,600nits W21 | WU
LT4_FOS_600NITS_W21_10HZ WU duvShortEdge,600NITS_W21 WU duvShortEdge,0,0.0055,Yes,600nits W21 | WU
LT4_FOS_600NITS_W21_10HZ WU framePink,600NITS_W21 WU framePink,0,0,Yes,600nits W21 | WU
LT4_FOS_600NITS_W21_10HZ CU DUVCen,600NITS_W21 CU DUVCen,0,12.4,Yes,600nits W21 | CU
LT4_FOS_600NITS_W21_10HZ CU LUCen,600NITS_W21 CU LUCen,0,1.1,Yes,600nits W21 | CU
LT4_FOS_600NITS_W21_10HZ CU DUVEdge,600NITS_W21 CU DUVEdge,0,12.4,Yes,600nits W21 | CU
LT4_FOS_600NITS_W21_10HZ CU LUEdge,600NITS_W21 CU LUEdge,0,1.1,Yes,600nits W21 | CU
